Index,Substrate,Photocatalyst,Organocatalyst,File name,AR,ee (IM-MS),,
1,S1,P1,L1,S1-P1-L1,0.19 ,0.63%,,
2,S1,P1,L2,S1-P1-L2,0.57 ,44.66%,,
3,S1,P1,L3,S1-P1-L3,0.39 ,79.95%,,
4,S1,P1,L4,S1-P1-L4,1.18 ,-60.88%,,
5,S1,P1,L5,S1-P1-L5,0.41 ,-5.16%,,
6,S1,P1,L6,S1-P1-L6,0.10 ,40.53%,,
7,S1,P1,L7,S1-P1-L7,0.71 ,-14.44%,,
8,S1,P1,L8,S1-P1-L8,0.40 ,-4.26%,,
9,S1,P1,L9,S1-P1-L9,0.23 ,-21.21%,,
10,S1,P1,L10,S1-P1-L10,0.56 ,-43.38%,,
11,S1,P1,L11,S1-P1-L11,0.12 ,2.19%,,
12,S1,P2,L1,S1-P2-L1,0.14 ,7.14%,,
13,S1,P2,L2,S1-P2-L2,0.82 ,48.06%,,
14,S1,P2,L3,S1-P2-L3,0.32 ,80.75%,,
15,S1,P2,L4,S1-P2-L4,1.01 ,-59.44%,,
16,S1,P2,L5,S1-P2-L5,0.41 ,-3.61%,,
17,S1,P2,L6,S1-P2-L6,0.09 ,34.75%,,
18,S1,P2,L7,S1-P2-L7,0.24 ,-17.80%,,
19,S1,P2,L8,S1-P2-L8,0.33 ,-5.24%,,
20,S1,P2,L9,S1-P2-L9,0.40 ,-22.99%,,
21,S1,P2,L10,S1-P2-L10,0.37 ,-41.82%,,
22,S1,P2,L11,S1-P2-L11,0.07 ,3.74%,,
23,S1,P3,L1,S1-P3-L1,0.18 ,4.10%,,
24,S1,P3,L2,S1-P3-L2,0.81 ,45.34%,,
25,S1,P3,L3,S1-P3-L3,0.33 ,74.39%,,
26,S1,P3,L4,S1-P3-L4,0.84 ,-58.73%,,
27,S1,P3,L5,S1-P3-L5,0.48 ,-2.93%,,
28,S1,P3,L6,S1-P3-L6,0.10 ,47.15%,,
29,S1,P3,L7,S1-P3-L7,0.46 ,-15.17%,,
30,S1,P3,L8,S1-P3-L8,0.28 ,-6.67%,,
31,S1,P3,L9,S1-P3-L9,0.54 ,-19.28%,,
32,S1,P3,L10,S1-P3-L10,0.45 ,-40.18%,,
33,S1,P3,L11,S1-P3-L11,0.16 ,0.25%,,
34,S1,P4,L1,S1-P4-L1,0.18 ,5.91%,,
35,S1,P4,L2,S1-P4-L2,0.67 ,44.76%,,
36,S1,P4,L3,S1-P4-L3,0.25 ,77.89%,,
37,S1,P4,L4,S1-P4-L4,1.13 ,-54.37%,,
38,S1,P4,L5,S1-P4-L5,0.29 ,-3.73%,,
39,S1,P4,L6,S1-P4-L6,0.08 ,37.12%,,
40,S1,P4,L7,S1-P4-L7,0.45 ,-12.46%,,
41,S1,P4,L8,S1-P4-L8,0.26 ,-6.67%,,
42,S1,P4,L9,S1-P4-L9,0.56 ,-14.26%,,
43,S1,P4,L10,S1-P4-L10,0.63 ,-47.72%,,
44,S1,P4,L11,S1-P4-L11,0.15 ,0.48%,,
45,S1,P5,L1,S1-P5-L1,0.16 ,6.43%,,
46,S1,P5,L2,S1-P5-L2,0.74 ,44.25%,,
47,S1,P5,L3,S1-P5-L3,0.24 ,72.92%,,
48,S1,P5,L4,S1-P5-L4,0.70 ,-59.03%,,
49,S1,P5,L5,S1-P5-L5,0.43 ,-3.32%,,
50,S1,P5,L6,S1-P5-L6,0.07 ,39.20%,,
51,S1,P5,L7,S1-P5-L7,0.33 ,-16.37%,,
52,S1,P5,L8,S1-P5-L8,0.20 ,-7.83%,,
53,S1,P5,L9,S1-P5-L9,0.44 ,-16.44%,,
54,S1,P5,L10,S1-P5-L10,0.39 ,-39.69%,,
